transdate,cst_dim_id,monthly_os_changes,monthly_phone_model_changes,last_phone_model_categorical,last_os_categorical,logins_last_7_days,logins_last_30_days,login_frequency_7d,login_frequency_30d,freq_change_7d_vs_mean,logins_7d_over_30d_ratio,avg_login_interval_30d,std_login_interval_30d,var_login_interval_30d,ewm_login_interval_7d,burstiness_login_interval,fano_factor_login_interval,zscore_avg_login_interval_7d
'2025-05-04 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,18,65,2.571428571428572,2.1666666666666665,0.18681318681318698,0.2769230769230769,40137.31343283582,75502.69887975889,5700657538.127544,3949.538713123039,0.305823086141883,142028.8766378646,-0.1898914031625356
'2025-06-23 00:00:00.000',2933793914.0,1,1,Samsung_sm-a165f,Android/14,10,51,1.4285714285714286,01.июл,-0.15966386554621845,0.196078431372549,47436.206896551725,76043.88146436878,5782671908.166969,187198.67594829865,0.2316784426344072,121904.1800871167,-0.0696467196908317
'2025-04-26 00:00:00.000',2933793914.0,2,3,Samsung_sm-a165f,Android/14,15,49,2.142857142857143,1.6333333333333333,0.3119533527696793,0.3061224489795918,51452.22222222222,119659.0897392785,14318297757.232704,4131.056062239449,0.398611095521274,278283.36928562494,-0.1126958210568172
'2025-03-24 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,9,33,1.2857142857142858,01.янв,0.16883116883116883,0.2727272727272727,71792.57142857143,116828.36491655454,13648866849.07563,12181.395520560109,0.2387634923282303,190115.30827608387,-0.164750841478601
'2024-12-21 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,3,24,0.4285714285714285,0.8,-0.46428571428571436,0.125,102452.30769230767,142771.9366348357,20383825890.46154,2700.0,0.1644194237529764,198959.16792503832,-0.6825032284988436
'2024-12-04 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,6,18,0.8571428571428571,0.6,0.42857142857142855,0.3333333333333333,141056.84210526315,258062.1277705694,66596061789.47369,86830.90870816083,0.2931589187597549,472122.1657562461,-0.2104022104070065
'2025-02-22 00:00:00.000',2933793914.0,2,2,Samsung SM-A325F,Android/13,3,31,0.4285714285714285,1.0333333333333334,-0.5852534562211982,0.0967741935483871,86658.75,175916.24480270114,30946525185.48387,2455.3846153846152,0.3399314350925503,357107.91103591816,-0.4818699381348913
'2025-05-07 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,20,74,2.857142857142857,2.466666666666667,0.15830115830115826,0.2702702702702703,36101.05263157895,68596.85022076835,4705527860.210526,17056.42985929115,0.3103767764576657,130343.23149055283,-0.1408688279948344
'2025-02-21 00:00:00.000',2933793914.0,2,2,Samsung SM-A325F,Android/13,0,28,0.0,0.9333333333333333,-1.0,0.0,65956.55172413793,110160.89039853944,12135421773.399015,-1.0,0.2509935310303353,183991.149570026,-1.0
'2024-12-01 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,10,18,1.4285714285714286,0.6,1.3809523809523812,0.5555555555555556,147741.17647058822,272881.52864114754,74464328673.52942,77237.43401311367,0.2975121186986722,504018.7878045868,-0.360893523870924
'2024-12-13 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,6,23,0.8571428571428571,0.7666666666666667,0.11801242236024831,0.2608695652173913,90084.54545454546,106731.0462141828,11391516225.974026,134664.93719738963,0.0845791769772795,126453.61275338753,0.0493525991948403
'2025-03-22 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,9,34,1.2857142857142858,1.1333333333333333,0.13445378151260515,0.2647058823529412,74532.72727272728,119690.33490827295,14325776270.454546,5518.013769483416,0.2325038392889843,192207.8635071841,-0.0388939280376724
'2025-04-27 00:00:00.000',2933793914.0,2,3,Samsung SM-A165F,Android/14,12,50,1.7142857142857142,1.6666666666666667,0.02857142857142847,0.24,51422.181818181816,118546.16707631187,14053193728.484848,36098.863226458045,0.3949204995795816,273290.49899465626,-0.3110594800350783
'2024-12-07 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,4,17,0.5714285714285714,0.5666666666666667,0.008403361344537785,0.2352941176470588,143190.0,265089.9299793762,70272670976.47058,146298.1294964029,0.2985694887954297,490765.2138869375,-0.1156211403518215
'2025-04-14 00:00:00.000',2933793914.0,3,4,Samsung_sm-a165f,Android/14,15,38,2.142857142857143,1.2666666666666666,0.6917293233082707,0.3947368421052631,68432.43243243243,129774.16275560755,16841333318.918919,70363.96117357501,0.3094838002992776,246101.63222748815,-0.2286797118668816
'2025-05-02 00:00:00.000',2933793914.0,1,2,Samsung_sm-a165f,Android/14,19,60,2.7142857142857144,2.0,0.3571428571428572,0.3166666666666666,41997.096774193546,77756.64718592899,6046096181.597038,23240.67029908623,0.2986090390931177,143964.62246200445,-0.1578912828486158
'2025-04-12 00:00:00.000',2933793914.0,3,4,Samsung_sm-a165f,Android/14,13,35,1.8571428571428568,1.1666666666666667,0.5918367346938775,0.3714285714285714,69504.70588235294,135106.28229870563,18253707516.57754,43372.63780470207,0.3206160969141227,262625.49110666924,-0.2325184687777757
'2025-04-10 00:00:00.000',2933793914.0,3,4,Samsung_sm-a165f,Android/14,12,32,1.7142857142857142,1.0666666666666667,0.6071428571428571,0.375,73037.83783783784,156138.7625574539,24379313172.972973,2461.818193779676,0.3626064989893414,333790.1818383659,-0.3210525439530187
'2025-02-26 00:00:00.000',2933793914.0,2,2,Samsung SM-A325F,Android/13,12,39,1.7142857142857142,01.мар,0.31868131868131855,0.3076923076923077,71395.38461538461,155348.57473718416,24133179672.874493,12673.744827113953,0.3702554650695634,338021.5654398781,-0.2433291661979513
'2025-04-19 00:00:00.000',2933793914.0,3,4,Samsung SM-A165F,Android/14,16,48,2.2857142857142856,01.июн,0.42857142857142844,0.3333333333333333,57073.75,118304.07594685104,13995854385.638298,36377.50372705342,0.3491337950865415,245224.01954731025,-0.2012927264712206
'2025-04-28 00:00:00.000',2933793914.0,2,3,Samsung_sm-a165f,Android/14,15,53,2.142857142857143,1.7666666666666666,0.21293800539083557,0.2830188679245283,43340.769230769234,83576.57303443948,6985043560.180996,10546.468084951226,0.3170236871143488,161165.65728192133,-0.2781288356424513
'2025-05-01 00:00:00.000',2933793914.0,2,3,Samsung_sm-a165f,Android/14,23,61,3.2857142857142856,2.033333333333333,0.6159250585480094,0.3770491803278688,42059.0,78734.05038805303,6199050690.508474,65356.33680214303,0.3036188776608655,147389.39800062944,-0.2159964163339071
'2025-06-02 00:00:00.000',2933793914.0,1,1,Samsung_sm-a165f,Android/14,14,55,2.0,1.8333333333333333,0.09090909090909095,0.2545454545454545,44445.0,60003.53132465264,3600423771.428571,67954.49467593848,0.1489588329039569,81008.52225061473,-0.005749661601304
'2025-02-11 00:00:00.000',2933793914.0,2,2,Samsung SM-A325F,Android/13,4,28,0.5714285714285714,0.9333333333333333,-0.38775510204081637,0.1428571428571428,68133.33333333333,113560.72533434056,12896038338.461538,335130.21582733816,0.250021339905758,189276.49224747857,0.9405246959475744
'2025-01-20 00:00:00.000',2933793914.0,1,1,Samsung SM-A325F,Android/13,0,3,0.0,0.1,-1.0,0.0,164016.0,219311.50147678077,48097534680,-1.0,0.1442513288604474,293249.04082528537,-1.0
